YYYY-QQ,SITES_IDENTIFIED,SITES_STOPPED,ILLEGAL_EXP_EVENT,RECYCLE_MIXEDPAPER_£,RECYCLE_NEWSPAPER_£,RECYCLE_MIXGLASS_£,RECYCLE_STEELCANS_£,RECYCLE_ALUMCANS_£,RECYCLE_PLASTICBOTTLE_£,HOUSEWASTE_T,RECYCLE_P,DRYRECYCLE_P,DISPOSAL_P,LA_COLLECTWASTE_T,CPI_NOTNATIONAL_INDICIES_BASE2005,RPI_NOTNATIONAL_INDICIES_BASE1987,GDP_CURRENT_MARKETPRICE,POPULATION_ENGLAND,DWELLINGS_ENGLAND,TURNOVER(£M)_COLLECTION&TREATMENT&DISPOSAL&RECOVERY,"E : Water Supply; Sewerage, Waste Management and Remediation Activities (Index) (Seasonally adjusted) (2012 index year)","Water Supply; Sewerage,Waste Management & Remediation Act (period-period growth (Seasonally adjusted) index 2012"
2004-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2,183.8,73.8,,,,92.8,0.4
2004-02,19,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1,186.5,75.2,50194600,21684000,,96.2,3.6
2004-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1,187.4,75.8,,,,93.7,-2.5
2004-04,11,0,1,0,0,0,0,0,0,0,0,0,0,0,98.6,189,76.7,,,,93.9,0.2
2005-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8,189.6,77.6,,,,96.9,3.1
2005-02,12,0,0,0,0,0,0,0,0,0,0,0,0,0,100,192,79.6,50606000,21870000,,98.3,1.5
2005-03,4,0,0,0,0,0,0,0,0,0,0,0,0,0,100.4,192.6,80.3,,,,99,0.6
2005-04,5,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,193.6,82.1,,,,99.6,0.6
2006-01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,100.9,194.2,83.2,,,,95.8,-3.8
2006-02,26,0,1,0,0,0,0,0,0,0,0,0,0,0,102.2,197.7,84.1,50965200,22073000,,96.5,0.8
2006-03,8,0,0,0,0,0,0,0,0,0,0,0,0,0,102.9,199.2,84.8,,,,95.9,-0.7
2006-04,32,0,1,0,0,0,0,0,0,0,0,0,0,0,103.4,201.1,85.8,,,,97.4,1.6
2007-01,44,0,0,0,0,0,0,0,0,0,0,0,0,0,103.7,203.1,87.4,,,,101.1,3.8
2007-02,51,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,206.2,88.4,51381100,22288000,,99.9,-1.1
2007-03,36,0,1,0,0,0,0,0,0,0,0,0,0,0,104.7,207.3,89.8,,,,99.1,-0.8
2007-04,46,0,2,0,0,0,0,0,0,0,0,0,0,0,105.6,209.7,91,,,,100.9,1.8
2008-01,91,0,2,0,0,0,0,0,0,0,0,0,0,0,106.3,211.4,92.2,,,,101.6,0.7
2008-02,119,1,30,0,0,0,0,0,0,0,0,0,0,0,108.3,215.1,92,51815900,22511000,15279,102.2,0.6
2008-03,82,0,3,0,0,0,0,0,0,0,0,0,0,0,109.7,217.2,91.2,,,,102.2,0
2008-04,169,0,14,0,0,0,0,0,0,0,0,0,0,0,109.9,216,89.6,,,,95.7,-6.3
2009-01,285,0,62,20,49.5,15,35,350,95,0,0,0,0,0,109.6,211.4,88.5,,,,92.1,-3.8
2009-02,327,203,106,74.5,187.5,45,105,1350,400,0,0,0,0,0,110.7,212.8,88.5,52196400,22694000,14158,92.6,0.6
2009-03,345,216,126,88.5,225,46,70,1575,350,0,0,0,0,0,111.4,214.4,89.4,,,,92.7,0.1
2009-04,319,271,112,112.5,231,46.5,190,1500,320,0,0,0,0,0,112,216.6,90.4,,,,93.4,0.7
2010-01,477,190,90,158.5,275,46.5,345,2300,405,5129.350903,36.6707218,30.38911158,59.26397038,604219.1,112.9,219.2,92.1,,,,93.2,-0.3
2010-02,325,206,48,200,311,46.5,385,2550,440,6064.660042,43.917169,29.59593584,52.32067384,713521.7,114.4,223.6,93.4,52642500,22839000,15977,94.6,1.5
2010-03,414,238,55,192.5,340.5,45.5,365,2070,485,5894.232564,43.39681158,30.05937314,52.31369761,687976.1,114.9,224.5,93.6,,,,95.2,0.6
2010-04,319,285,26,221,352.5,19.5,437.5,2500,525,5043.196241,39.85506223,29.59512752,55.11784327,586477.4,115.6,226.8,94.5,,,,95.9,0.8
2011-01,426,245,28,256,368.5,11,442.5,2620,605,5381.760606,40.00622022,31.46438982,54.94133271,631900,117.8,231.3,96.9,,,,99,3.3
2011-02,296,192,23,283,377.5,0,422.5,3010,705,5873.449116,45.84633231,30.64913337,48.94997715,685747.2,119.5,235.2,96.4,53107200,22976000,,99.9,0.9
2011-03,332,213,58,295.5,399,-34,455,2975,700,5786.386424,45.40726815,30.78310119,48.21634429,671590.7,120.1,236.1,97.4,,,,99.1,-0.8
2011-04,385,178,54,232.5,329,-28,432.5,2840,530,5128.702244,41.39932285,30.59528072,50.48224437,595371.8,121.2,238.5,98.3,,,,102.4,3.3
2012-01,1236,228,47,237.5,327.5,-26,490,2780,460,5091.969643,40.04858911,32.21056917,52.05975655,589004.7,121.8,239.9,99.2,,,,99.8,-2.6
2012-02,396,366,56,195.5,322.5,-30,452.5,2450,370,5794.320327,46.3494396,31.39821461,45.77774183,668071.7,122.8,242.4,98.9,53493700,23111000,,99.6,-0.2
2012-03,389,295,63,130.5,276,-30,342.5,2315,235,5992.192248,47.57432475,31.32073924,44.23953522,689293.4,123.1,243,100.7,,,,100.1,0.5
2012-04,433,368,62,142.5,266,50,345,2185,225,5077.362801,41.52567155,31.19043238,48.47662254,590171.9,124.4,245.6,101.2,,,,100.6,0.5
2013-01,462,400,64,157,256,67.5,435,2245,195,4756.859596,38.71426017,32.40544283,50.31634741,550899.8,125.2,247.6,102.2,,,,100.1,-0.4
2013-02,239,222,195,161,272.5,59.5,417.5,2337.5,180,5857.100141,46.96361568,31.89212509,43.54733466,680614.5,126.1,250,103.3,53865800,23236000,,102.3,2.2
2013-03,267,280,213,162,300.5,45.5,420,2395,205,5793.246798,47.09352277,32.1214059,43.38227056,671602.7,126.4,251,105.3,,,,107.1,4.6
2013-04,230,292,233,165.5,287.5,47.5,422.5,2390,202.5,5156.530934,42.71614053,31.7240026,45.57170373,600801.8,127,252.1,106,,,,107.5,0.4
2014-01,216,198,128,159,267.5,41.5,407.5,2045,210,5131.928591,40.41295515,32.50753357,47.12435018,598773.2,127.4,254.2,107.3,,,,107.5,0
2014-02,243,251,184,144.5,260.5,48,393,2040,247.5,6151.108917,48.53300031,31.67835884,40.48205141,709439.3952,128,255.9,109,54316600,23372000,,104.1,-3.2
2014-03,260,210,291,131.5,257,41,365,2075,277.5,5913.55615,47.17128454,32.07607837,41.2038376,683310.6348,128.3,257,109.7,,,,103.6,-0.5
2014-04,220,187,333,131.5,239.5,11.5,322.5,2105,302.5,5169.348759,42.01935434,31.57283992,45.58393324,602443.8788,128.2,257.1,110.4,,,,104.9,1.3
2015-01,318,236,232,117,194.5,0,258.5,2320,265,0,0,0,0,0,127.4,256.7,111.3,,,,105.5,0.5
2015-02,277,200,218,0,0,0,0,0,0,0,0,0,0,0,128.2,258.5,112.7,,,,109.4,3.7
2015-03,156,127,218,0,0,0,0,0,0,0,0,0,0,0,128.4,259.8,113.4,,,,109.2,-0.2
,,,,,,,,,,,,,,,128.3,259.8,,,,,,
